method,path,router,function,access_type,identity_dependency,permission,ownership,actor,public_intentional,test_401,test_403,test_ownership,finding
GET,/,root,root,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
GET,/api/activity/attachments/{attachment_id}/download,activity,download_attachment,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/attachments/{attachment_id}/preview,activity,preview_attachment,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/attention/{attention_id}/resolve,activity,post_attention_resolve,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/entities,activity,get_entities,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/inbox,activity,get_inbox,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/mentionable-users,activity,get_mentionable_users,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/activity/messages/{message_id},activity,delete_message,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/activity/messages/{message_id},activity,patch_message,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/messages/{message_id}/attachments,activity,post_attachment,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/messages/{message_id}/attention,activity,post_attention,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/messages/{message_id}/withdraw,activity,post_withdraw_compatibility,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/resolution-target/{public_id},activity,get_resolution_target,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/activity/{entity_type}/{entity_id},activity,get_entity_activity,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/{entity_type}/{entity_id}/messages,activity,post_message,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/activity/{entity_type}/{entity_id}/read,activity,post_entity_read,authenticated_permission,access_jwt,activity.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/audit-logs,audit_logs,get_audit_logs,administrative,access_jwt,audit_logs.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/auth/login,auth,login,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
GET,/api/auth/me,auth,me,authenticated,access_jwt,,,internal_user,no,required,not_applicable,not_applicable,
POST,/api/auth/refresh,auth,refresh,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
POST,/api/auth/register,auth,register,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
GET,/api/auth/registration-status,auth,get_registration_status,public_intentional,none,,,anonymous,yes,not_applicable,not_applicable,not_applicable,
GET,/api/calibration-procedures,calibration-procedures,get_calibration_procedures,authenticated_permission,access_jwt,procedures.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/calibration-procedures,calibration-procedures,post_calibration_procedure,authenticated_permission,access_jwt,procedures.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/calibration-procedures/{procedure_id},calibration-procedures,delete_calibration_procedure,authenticated_permission,access_jwt,procedures.delete,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/calibration-procedures/{procedure_id},calibration-procedures,get_calibration_procedure_by_id,authenticated_permission,access_jwt,procedures.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/calibration-procedures/{procedure_id},calibration-procedures,patch_calibration_procedure,authenticated_permission,access_jwt,procedures.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/catalog-items,catalog-items,get_catalog_items,authenticated_permission,access_jwt,catalog_items.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/catalog-items,catalog-items,post_catalog_item,authenticated_permission,access_jwt,catalog_items.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/catalog-items/linked-companies,catalog-items,get_linked_companies,authenticated_permission,access_jwt,catalog_items.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/catalog-items/linked-companies,catalog-items,post_linked_company,authenticated_permission,access_jwt,services.manage_linked_company,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/catalog-items/{catalog_item_id},catalog-items,delete_catalog_item_by_id,authenticated_permission,access_jwt,catalog_items.delete,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/catalog-items/{catalog_item_id},catalog-items,get_catalog_item_by_id,authenticated_permission,access_jwt,catalog_items.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
PATCH,/api/catalog-items/{catalog_item_id},catalog-items,patch_catalog_item,authenticated_permission,access_jwt,catalog_items.update,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates,certificates,get_certificates,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
POST,/api/certificates,certificates,post_certificate,authenticated_permission,access_jwt,certificates.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates/capture-master-readiness,certificates,get_capture_master_readiness_list,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
GET,/api/certificates/release-readiness/{service_order_id},certificates,certificate_release_readiness,authenticated_permission,access_jwt,certificates.read,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
DELETE,/api/certificates/{certificate_id},certificates,delete_certificate,authenticated_permission,access_jwt,certificates.create,,internal_user,no,required,required,not_applicable,AUD-001/AUD-011
